Mobiletimestamp,MobileAccl_X,MobileAccl_Y,MobileAccl_Z,MobileGyro_X,MobileGyro_Y,MobileGyro_Z, Watchtimestamp,Watch_X,Watch_Y,Watch_Z,WatchGyro_X,WatchGyro_Y,WatchGyro_Z
1.41754E+14,0.042703946,-0.022255201,0.054318807,0.015808105,0.003209432,0.001714071,6.47573E+13,0.13559564,0.034160584,0.026515127,-0.003013189,-0.008339777,-0.006696962
1.41754E+14,0.080071767,-0.030077591,-0.179395172,0.011332194,-0.000869751,0.000493368,6.47573E+13,0.117726643,0.05875668,0.026018499,-0.000527572,-0.006209249,-0.010247843
1.41754E+14,0.14959176,0.047586849,-0.004241288,-0.004140218,0.000350952,-0.001134237,6.47573E+13,0.072196322,0.1110601,0.037063559,0.003733485,-0.005143984,-0.013088549
1.41754E+14,0.14970716,0.046417043,0.024898349,-0.018391927,0.006871541,-0.003173828,6.47573E+13,0.055639267,0.08056104,0.049158969,0.005864015,-0.009049954,-0.013088549
1.41754E+14,0.115355175,0.015930005,0.00230815,-0.01797994,-0.001678467,-0.003580729,6.47574E+13,0.03283755,0.07250492,-0.016090671,0.006929278,-0.014731365,-0.015574165
1.41754E+14,0.029163361,-0.030166769,0.050165397,-0.008209229,-0.024892171,-0.007242839,6.47574E+13,0.030272484,0.104040496,0.007784565,0.011190337,-0.018282246,-0.015219077
1.41754E+14,0.131771087,-0.018534979,0.105450113,-0.012288412,-0.007380168,-0.001953125,6.47574E+13,0.036582628,0.11302946,-0.003767769,0.012255601,-0.021478039,-0.01663943
1.41754E+14,0.094904897,0.021358684,0.033894386,-0.021235148,0.024780274,-0.001139323,6.47574E+13,0.036515871,0.12111953,-0.012009978,0.015096306,-0.02325348,-0.018414871
1.41754E+14,-0.057435036,0.040760596,0.019733826,-0.026535034,0.010950724,-0.001144409,6.47574E+13,0.03717359,0.10254323,-0.005781094,0.016871747,-0.025739096,-0.016994519
1.41754E+14,0.017934482,0.041710793,0.092417139,-0.027755737,-0.002080282,-0.001144409,6.47574E+13,0.021964708,-0.1274988,0.02568225,0.021132805,-0.018637334,-0.020190313
1.41754E+14,0.017578443,0.018158009,0.086041035,-0.015131633,-0.004933675,-0.001546224,6.47574E+13,0.052808444,-0.3280723,0.025268872,0.022908245,-0.017216982,-0.015574166
1.41754E+14,-0.014331817,0.004856928,0.07241527,0.004414876,-0.007792155,-0.00398763,6.47574E+13,0.046809514,-0.61848235,0.01986905,0.024328598,-0.023608567,-0.013443637
1.41754E+14,0.029458362,0.020164083,0.23171735,0.025182088,-0.004933675,-0.001546224,6.47574E+13,0.000469525,-1.2138424,-0.006538669,0.029654921,-0.024673833,-0.026226812
1.41754E+14,0.053790728,0.020303756,0.127429905,0.033330281,0.00646464,-0.000732422,6.47574E+13,-0.057038307,-1.8574057,-0.013067364,0.042438093,-0.028934889,-0.055699125
1.41754E+14,-0.019067128,0.031914747,-0.25428893,0.028030395,0.013788859,-0.001139323,6.47575E+13,-0.009674708,-2.3504212,-0.044082322,0.064452312,-0.028225955,-0.102569165
1.41754E+14,-0.019311588,0.030151501,-0.187226414,0.013371786,0.012161255,-0.001139323,6.47575E+13,0.045880955,-2.5053945,-0.006634037,0.09463481,-0.035327719,-0.161868877
1.41754E+14,-0.02240626,0.030011123,-0.135480623,0.004419963,0.00483195,0.001296997,6.47575E+13,0.08007908,-2.3044152,-0.058403571,0.12694783,-0.036392986,-0.224719475
